#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009170043915_24,292.466143266051,41.2183185497453,1,55001.17349214,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009231194831_24,292.466040619257,41.2184729199929,1,55062.80492724,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009260000800_24,292.466002460911,41.2184899207423,1,55090.98512704,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009292020429_40,292.469266611698,41.2152866703588,1,55123.06602474,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009322233047_40,292.469301433214,41.2152592414951,1,55153.95927784,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009351005245_40,292.469332834574,41.2152209566045,1,55182.01619934,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010019225502_64,292.474571115213,41.2161497219475,1,55215.93445914,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010020005046_64,292.474571115213,41.2161497219475,1,55216.01483134,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010049182302_64,292.474620574881,41.2160754679461,1,55245.74556834,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010078174524_64,292.474637552233,41.2160182325629,1,55274.71942834,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010111125026_48,292.470822778228,41.2207301506721,1,55307.51459974,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010140101631_48,292.470813522955,41.220759025895,1,55336.40771054,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010174164113_48,292.470776369099,41.2208476951417,1,55370.67486344,1765.459584,NaN,Kepler,0
