#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type," Distance ("")"
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676033,217.3256113,-62.68388581,2,57607.0424,2265.730794,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676034,217.3694604,-62.6687091,2,57619.34561,1721.504566,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676036,217.3962206,-62.6533867,2,57635.08664,2611.596083,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676037,217.3432055,-62.67355901,2,57643.12247,1848.367774,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676038,217.4045568,-62.67720975,2,57730.70826,2238.299927,NaN,,0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,PROXIMACEN,,90215002,217.3205924,-62.66919563,2,54944.20799,52.78515087,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215002,217.3205924,-62.66919563,2,54944.19723,157.9971149,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215002,217.3205924,-62.66919563,2,54944.19828,1592.046307,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215003,217.2870647,-62.67317238,2,54961.47119,153.0888683,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215003,217.2870647,-62.67317238,2,54961.47235,600.7581574,NaN,,0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,PROXIMACEN,,90215005,217.4043126,-62.69454642,2,54964.49932,104.8210286,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215005,217.4043126,-62.69454642,2,54964.48537,308.3170152,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215005,217.4043126,-62.69454642,2,54964.48669,2626.780839,NaN,,0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,PROXIMACEN,,90215006,217.4228689,-62.67113171,2,54978.47493,175.2519503,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215006,217.4228689,-62.67113171,2,54978.46036,221.9778591,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215006,217.4228689,-62.67113171,2,54978.46174,2231.777373,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215007,217.4312082,-62.67702146,2,55001.55488,222.4990865,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215007,217.4312082,-62.67702146,2,55001.5558,2248.814753,NaN,,0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,PROXIMACEN,,90215007,217.4312082,-62.67702146,2,55001.56436,46.17212302,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215008,217.4017438,-62.66999853,2,55022.725,1578.038499,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215008,217.4017438,-62.66999853,2,55022.72432,155.8145302,NaN,,0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,PROXIMACEN,,90215008,217.4017438,-62.66999853,2,55022.85285,53.20864446,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215009,217.3937774,-62.67667958,2,55044.04956,150.8844929,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215009,217.3937774,-62.67667958,2,55044.05013,1515.708488,NaN,,0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,PROXIMACEN,,90215009,217.3937774,-62.67667958,2,55044.05522,109.5880975,NaN,,0
science,SWIFT,,UVOT,,UVW2,UV;OPTICAL,PROXIMACEN,,90215010,217.4729414,-62.69685712,2,55065.55988,109.6858314,NaN,,0
science,SWIFT,,UVOT,,UGRISM,UV;OPTICAL,PROXIMACEN,,90215010,217.4729414,-62.69685712,2,55065.55016,1692.436794,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215010,217.4729414,-62.69685712,2,55065.54911,167.8569731,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215011,217.3827823,-62.6766535,2,55083.40581,2140.515912,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215012,217.4048313,-62.64734444,2,55107.03721,1406.2789,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215013,217.5030148,-62.6799889,2,55127.32668,1190.002025,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215014,217.4491756,-62.67363311,2,55179.58794,1099.873748,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215015,217.4256275,-62.67627957,2,55195.25492,1823.359329,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215016,217.389168,-62.66015816,2,55215.71911,1993.18275,NaN,,0
