#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#corr_id, ap_type, date_obs, obs_id, instrume, apername, fpx, fpy, fileName, zipname, isRestricted, fileSize, visitId, date_obs_mjd, dataURI
#@string, string, date, string, string, string, float, float, string, string, string, string, string, float, string
corr_id,ap_type,date_obs,obs_id,instrume,apername,fpx,fpy,fileName,zipname,isRestricted,fileSize,visitId,date_obs_mjd,dataURI
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-13.zip,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-13.zip
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-14.fits,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-14.fits
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-14.zip,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-14.zip
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-15.fits,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-15.fits
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-15.zip,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-mperrin-MCS-SYNCHRONIZE-15.zip
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-tcomeau-MCS-CONFIRM-02.fits,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-tcomeau-MCS-CONFIRM-02.fits
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-tcomeau-MCS-CONFIRM-02.zip,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-tcomeau-MCS-CONFIRM-02.zip
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-tcomeau-MCS-FORCE_FAIL_COMPLETED-03.fits,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-tcomeau-MCS-FORCE_FAIL_COMPLETED-03.fits
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-tcomeau-MCS-FORCE_FAIL_COMPLETED-03.zip,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-tcomeau-MCS-FORCE_FAIL_COMPLETED-03.zip
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-tcomeau-MCS-SUR-01.fits,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-tcomeau-MCS-SUR-01.fits
E201610170B,MCS,1/1/1900 12:00:00 AM,,,,0,0,E201610170B-OPS-tcomeau-MCS-SUR-01.zip,,True,8640,,15020,mast:JWST/product/E201610170B-OPS-tcomeau-MCS-SUR-01.zip
E2016101802,MCS,1/1/1900 12:00:00 AM,,,,0,0,E2016101802-OPS-tcomeau-MCS-CONFIRM-02.fits,,True,8640,,15020,mast:JWST/product/E2016101802-OPS-tcomeau-MCS-CONFIRM-02.fits
E2016101802,MCS,1/1/1900 12:00:00 AM,,,,0,0,E2016101802-OPS-tcomeau-MCS-CONFIRM-02.zip,,True,8640,,15020,mast:JWST/product/E2016101802-OPS-tcomeau-MCS-CONFIRM-02.zip
E2016101802,MCS,1/1/1900 12:00:00 AM,,,,0,0,E2016101802-OPS-tcomeau-MCS-SUR-01.fits,,True,8640,,15020,mast:JWST/product/E2016101802-OPS-tcomeau-MCS-SUR-01.fits
E2016101802,MCS,1/1/1900 12:00:00 AM,,,,0,0,E2016101802-OPS-tcomeau-MCS-SUR-01.zip,,True,8640,,15020,mast:JWST/product/E2016101802-OPS-tcomeau-MCS-SUR-01.zip
E2016101803,MCS,1/1/1900 12:00:00 AM,,,,0,0,E2016101803-OPS-tcomeau-MCS-CONFIRM-02.fits,,True,8640,,15020,mast:JWST/product/E2016101803-OPS-tcomeau-MCS-CONFIRM-02.fits
E2016101803,MCS,1/1/1900 12:00:00 AM,,,,0,0,E2016101803-OPS-tcomeau-MCS-CONFIRM-02.zip,,True,8640,,15020,mast:JWST/product/E2016101803-OPS-tcomeau-MCS-CONFIRM-02.zip
